Notifications,Year,Cure Prop,pop (M),Country
454372,2000,0.93,1264,China
470221,2001,0.95,,China
462609,2002,0.92,,China
615868,2003,0.93,,China
798433,2004,0.94,,China
899729,2005,0.94,,China
945175,2006,0.94,,China
979502,2007,0.94,,China
975821,2008,0.94,,China
965257,2009,0.95,,China
908399,2010,0.96,1348,China
151062,2008,0.91,144,Bangladesh
160875,2009,0.92,,Bangladesh
153892,2010,0.92,,Bangladesh
154358,2011,0.92,,Bangladesh
168683,2012,0.92,,Bangladesh
184506,2013,0.93,157,Bangladesh
191166,2014,0.93,,Bangladesh
206915,2015,0.93,161,Bangladesh
28307,2003,0.93,12.9,Cambodia
30838,2004,0.91,,Cambodia
35535,2005,0.93,,Cambodia
34660,2006,0.93,,Cambodia
35601,2007,0.94,,Cambodia
38927,2008,0.95,,Cambodia
39202,2009,0.95,,Cambodia
40460,2010,0.94,,Cambodia
38555,2011,0.93,14.6,Cambodia
210229,2004,0.9,226,Indonesia
254601,2005,0.91,,Indonesia
277589,2006,0.91,,Indonesia
275193,2007,0.91,,Indonesia
296514,2008,0.91,,Indonesia
292754,2009,0.91,,Indonesia
300659,2010,0.9,,Indonesia
318949,2011,0.9,,Indonesia
328824,2012,0.86,,Indonesia
325582,2013,0.88,,Indonesia
322806,2014,0.84,,Indonesia
331703,2015,,258,Indonesia
128343,2009,0.85,50.3,Myanmar
131590,2010,0.86,,Myanmar
136737,2011,0.86,,Myanmar
141170,2012,0.89,,Myanmar
134855,2013,0.87,,Myanmar
138352,2014,0.87,,Myanmar
138447,2015,0.87,54,Myanmar
137551,2016,0.88,53,Myanmar
130418,2017,0.87,53,Myanmar
137972,2018,0.87,54,Myanmar
140588,2007,0.89,89.6,Philippines
139603,2008,0.88,,Philippines
146565,2009,0.89,,Philippines
166323,2010,0.91,,Philippines
195560,2011,0.9,,Philippines
216627,2012,0.88,,Philippines
229918,2013,0.9,98,Philippines
243379,2014,0.92,,Philippines
276672,2015,0.91,101,Philippines
332941,2016,0.91,105,Philippines
97400,2007,0.92,84.7,Viet Nam
97772,2008,0.92,,Viet Nam
96861,2009,0.92,,Viet Nam
97448,2010,0.92,,Viet Nam
98804,2011,0.93,,Viet Nam
102112,2012,0.91,,Viet Nam
100395,2013,0.89,,Viet Nam
100349,2014,0.91,,Viet Nam
100780,2015,0.92,93,Viet Nam
102097,2016,0.92,,Viet Nam
102725,2017,0.92,96,Viet Nam
